etape_precedente,etape_suivante,condition1,operateur,condition2
init,1A,toujours_vrai,or,nc
init,1B,bouton2,or,mvt_cam_moy
init,1C,bouton3,or,mvt_cam_haut
1A,2A,bouton1,or,tempo7s
1A,2B,bouton2,or,mvt_cam_moy
1A,2C,bouton3,or,mvt_cam_haut
1B,2A,bouton1,or,tempo7s
1B,2B,bouton2,or,mvt_cam_moy
1B,2C,bouton3,or,mvt_cam_haut
1C,2A,bouton1,or,tempo7s
1C,2B,bouton2,or,mvt_cam_moy
1C,2C,bouton3,or,mvt_cam_haut
2A,3A,bouton1,or,tempo7s
2A,3B,bouton2,or,mvt_cam_moy
2A,3C,bouton3,or,mvt_cam_haut
2B,3A,bouton1,or,tempo7s
2B,3B,bouton2,or,mvt_cam_moy
2B,3C,bouton3,or,mvt_cam_haut
2C,3A,bouton1,or,tempo7s
2C,3B,bouton2,or,mvt_cam_moy
2C,3C,bouton3,or,mvt_cam_haut
3A,4A,bouton1,or,tempo7s
3A,4B,bouton2,or,mvt_cam_moy
3A,4C,bouton3,or,mvt_cam_haut
3B,4A,bouton1,or,tempo7s
3B,4B,bouton2,or,mvt_cam_moy
3B,4C,bouton3,or,mvt_cam_haut
3C,4A,bouton1,or,tempo7s
3C,4B,bouton2,or,mvt_cam_moy
3C,4C,bouton3,or,mvt_cam_haut
4A,init,bouton1,or,tempo7s
4B,init,bouton2,or,mvt_cam_moy
4C,init,bouton3,or,mvt_cam_haut
