etape_precedente,etape_suivante,condition1,operateur,condition2,
init,1A,bouton1,or,nc,
init,1B,bouton2,or,nc,
init,1C,bouton3,or,mvt_cam_moy,
1A,2A,toujours_vrai,or,nc,
1A,2B,toujours_vrai,or,nc,
1A,2C,toujours_vrai,or,nc,
1B,2A,toujours_vrai,or,nc,
1B,2B,toujours_vrai,or,nc,"0,1"
1B,2C,toujours_vrai,or,nc,
1C,2A,toujours_vrai,or,nc,
1C,2B,toujours_vrai,or,nc,
1C,2C,toujours_vrai,or,nc,
2A,3A,toujours_vrai,or,nc,
2A,3B,toujours_vrai,or,nc,
2A,3C,toujours_vrai,or,nc,
2B,3A,toujours_vrai,or,nc,
2B,3B,toujours_vrai,or,nc,
2B,3C,toujours_vrai,or,nc,
2C,3A,toujours_vrai,or,nc,
2C,3B,toujours_vrai,or,nc,
2C,3C,toujours_vrai,or,nc,
3A,4A,toujours_vrai,or,nc,
3A,4B,toujours_vrai,or,nc,
3A,4C,toujours_vrai,or,nc,
3B,4A,toujours_vrai,or,nc,
3B,4B,toujours_vrai,or,nc,
3B,4C,toujours_vrai,or,nc,
3C,4A,toujours_vrai,or,nc,
3C,4B,toujours_vrai,or,nc,
3C,4C,toujours_vrai,or,nc,
4A,init,bouton1,or,nc,
4B,init,bouton2,and,nc,
4C,init,bouton3,or,mvt_cam_bas,
